id,isbn,isbn13,name,num_pages,language,genre,edition,year,author,author_rating,average_rating,ratings_count,impressions,clicks,level
46,1119467659,9781119467656,"Artificial Intelligence For Dummies",339,"english","artificial intelligence",1,2018,"John Paul Mueller",3.58,3.58,57,0,0,"intermediate"

47,0321204662,9780321204660,"Artificial Intelligence: A Guide to Intelligent Systems",435,"english","artificial intelligence",2,2005,"Michael Negnevitsky",4.21,4.13,63,0,0,"advanced"

48,3319141414,9783319141411,"Data Mining: The Textbook",746,"english","data science",1,2015,"Charu C. Aggarwal",4.07,4.44,16,0,0,"beginner"

49,1306772516,9781306772518,"Big Data, Data Mining, and Machine Learning: Value Creation for Business Leaders and Practitioners",289,"english","machine learning",1,2014,"Jared Dean",3.3,3.53,15,0,0,"advanced"

50,1449361323,9781449361327,"Data Science for Business: What you need to know about data mining and data-analytic thinking",409,"english","data science",1,2013,"Foster Provost",4.16,4.16,1752,0,0,"intermediate"

51,1521031193,9781521031193,"A Level Physics MCQs: Multiple Choice Questions and Answers (Quiz & Tests with Answer Keys)",211,"english","physics",1,2017,"Arshad Iqbal",3.82,3.82,102,0,0,"beginner"

52,52,52,"General Knowledge Quiz Book",386,"english","general knowledge",1,2014,"Capella",4.0,4.0,2,0,0,"beginner"

53,1535192976,9781535192972,"Python: Practical Python Programming For Beginners and Experts",161,"english","python",1,2016,"Jonathan Yates",3.79,3.50,8,0,0,"beginner"

54,1484209591,9781484209592,"Python Data Analytics: Data Analysis and Science Using Pandas, Matplotlib and the Python Programming Language",350,"english","python",1,2015,"Fabio Nelli",3.45,3.14,7,0,0,"beginner"

55,55,55,"Object-Oriented Programming (OOP) with Java",3341,"english","java",1,2016,"Dick Baldwin",4.22,4.20,5,0,0,"intermediate"

56,0194316173,9780194316170,"Oxford Business English Dictionary for Learners of English",643,"english","english",1,2006,"Joseph Noble",4.7,4.63,8,0,0,"advanced"

57,1789538670,9781789538670,"Hands-On Deep Learning for Images with TensorFlow: Build intelligent computer vision applications using TensorFlow and Keras",135,"english","machine learning",1,2018,"Will Ballard",4.5,4.5,50,0,0,"advanced"

58,1465461884,9781465461889,"Coding Projects in Python",226,"english","python",1,2017,"D.K. Publishing",4.13,4.17,72,0,0,"beginner"

59,0199539537,9780199539536,"Oxford Dictionary of Proverbs",625,"english","english",1,2015,"Jennifer Speake",4.17,4.14,36,0,0,"intermediate"

60,0816051240,9780816051243,"Encyclopedia of Mathematics",577,"english","mathematics",1,2005,"James Stuart Tanton",4.25,4.50,2,0,0,"intermediate"























